# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-07-24 13:38:48-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.goa_human.gz
#   revision: 0
#   downloaded on: 2013-10-27 16:13:44-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2012-02-05 16:36:50.758813-05
#     synergizer db built from: Ensembl Genes 65 / Ensembl Metazoa Genes 12 / Ensembl Plants Genes 10
#   namespace: ensembl_gene_id
#   coverage: 99.6%
# size of "genespace": 3279
# number of attributes: 10471
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 573
# Number of entities in query: 573
# Total number of entities: 3279
# Total number of attributes: 10471
# Original total number of attributes: 17521
# Translation required: yes
# Translation coverage: 0.995851
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
17	21	1.27612606886557	3.21578204218829e-10	<0.001	GO:0022624	proteasome accessory complex
9	12	1.11391798858923	1.91458767467636e-05	0.018	GO:0006541	glutamine metabolic process
26	38	1.01842992534864	4.05040204923687e-12	<0.001	GO:0006521	regulation of cellular amino acid metabolic process
28	43	0.957712791065565	3.77011403086215e-12	<0.001	GO:0033238	regulation of cellular amine metabolic process
32	50	0.940623212427659	2.07818513100511e-13	<0.001	GO:0000502	proteasome complex
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:0072395	signal transduction involved in cell cycle checkpoint
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:0072401	signal transduction involved in DNA integrity checkpoint
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:0072413	signal transduction involved in mitotic cell cycle checkpoint
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:0072422	signal transduction involved in DNA damage checkpoint
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:1902400	intracellular signal transduction involved in G1 DNA damage checkpoint
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:1902402	signal transduction involved in mitotic DNA damage checkpoint
26	41	0.924524436406067	5.58795774833904e-11	<0.001	GO:1902403	signal transduction involved in mitotic DNA integrity checkpoint
27	43	0.914091579713147	3.29196903996292e-11	<0.001	GO:0071158	positive regulation of cell cycle arrest
29	47	0.896162444296493	1.12218894071949e-11	<0.001	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
28	46	0.880388417494274	4.12752238308197e-11	<0.001	GO:0051352	negative regulation of ligase activity
28	46	0.880388417494274	4.12752238308197e-11	<0.001	GO:0051436	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
28	46	0.880388417494274	4.12752238308197e-11	<0.001	GO:0051444	negative regulation of ubiquitin-protein ligase activity
26	43	0.871495250356222	2.60581621508843e-10	<0.001	GO:0031571	mitotic G1 DNA damage checkpoint
26	43	0.871495250356222	2.60581621508843e-10	<0.001	GO:0044783	G1 DNA damage checkpoint
14	23	0.866805759436707	3.71100151820444e-06	0.003	GO:0006099	tricarboxylic acid cycle
30	50	0.866533274773431	1.36218711858985e-11	<0.001	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I
27	45	0.864080839954665	1.49592218093493e-10	<0.001	GO:0044773	mitotic DNA damage checkpoint
12	20	0.84926374909752	2.34220313005822e-05	0.019	GO:0003724	RNA helicase activity
16	27	0.841180568304751	1.21099838789211e-06	0.001	GO:0003697	single-stranded DNA binding
27	46	0.841056389105685	3.03504940733493e-10	<0.001	GO:0044774	mitotic DNA integrity checkpoint
27	46	0.841056389105685	3.03504940733493e-10	<0.001	GO:0071156	regulation of cell cycle arrest
28	49	0.814636801880063	3.36470594205202e-10	<0.001	GO:0030330	DNA damage response, signal transduction by p53 class mediator
29	51	0.810505022074263	1.89051725646244e-10	<0.001	GO:0031145	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process
29	51	0.810505022074263	1.89051725646244e-10	<0.001	GO:0051439	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
26	46	0.80229473427361	2.04232943091858e-09	<0.001	GO:2000134	negative regulation of G1/S transition of mitotic cell cycle
