# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-07-24 13:56:44-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.goa_human.gz
#   revision: 0
#   downloaded on: 2013-10-27 16:13:44-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2012-02-05 16:36:50.758813-05
#     synergizer db built from: Ensembl Genes 65 / Ensembl Metazoa Genes 12 / Ensembl Plants Genes 10
#   namespace: ensembl_gene_id
#   coverage: 99.6%
# size of "genespace": 3279
# number of attributes: 10471
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 415
# Number of entities in query: 415
# Total number of entities: 3279
# Total number of attributes: 10471
# Original total number of attributes: 17521
# Translation required: yes
# Translation coverage: 0.995851
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
29	30	2.16347844611749	1.02336603173844e-25	<0.001	GO:0022625	cytosolic large ribosomal subunit
46	49	2.01236421605324	6.75763023459312e-39	<0.001	GO:0022626	cytosolic ribosome
17	18	1.92341565134783	6.53297010296989e-15	<0.001	GO:0022627	cytosolic small ribosomal subunit
46	51	1.81576592154756	6.79639962354952e-37	<0.001	GO:0006415	translational termination
51	58	1.73103467206282	1.30865843311703e-39	<0.001	GO:0006414	translational elongation
11	13	1.51258480108123	7.2806571958065e-09	<0.001	GO:0001731	formation of translation preinitiation complex
10	12	1.47200392719867	4.98020447429144e-08	<0.001	GO:0033290	eukaryotic 48S preinitiation complex
50	64	1.43395703992996	8.06706744139552e-34	<0.001	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
50	65	1.40484095996434	3.10692288676454e-33	<0.001	GO:0006613	cotranslational protein targeting to membrane
50	67	1.35182968088963	3.98954081769169e-32	<0.001	GO:0045047	protein targeting to ER
50	67	1.35182968088963	3.98954081769169e-32	<0.001	GO:0072599	establishment of protein localization to endoplasmic reticulum
10	13	1.3257241464169	1.91428473050649e-07	<0.001	GO:0005852	eukaryotic translation initiation factor 3 complex
10	13	1.3257241464169	1.91428473050649e-07	<0.001	GO:0016282	eukaryotic 43S preinitiation complex
10	13	1.3257241464169	1.91428473050649e-07	<0.001	GO:0070993	translation preinitiation complex
29	39	1.31701326599658	7.22965402311739e-19	<0.001	GO:0015934	large ribosomal subunit
50	69	1.30452797540661	4.32255148655851e-31	<0.001	GO:0043624	cellular protein complex disassembly
64	90	1.29347740990405	5.80728527871782e-39	<0.001	GO:0006413	translational initiation
51	71	1.29236177343523	2.12639394372857e-31	<0.001	GO:0070972	protein localization to endoplasmic reticulum
9	12	1.28118876125289	1.18943515730447e-06	<0.001	GO:0042274	ribosomal small subunit biogenesis
48	69	1.24189916785463	1.53081800033178e-28	<0.001	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
53	80	1.18264894748513	8.170824624462e-30	<0.001	GO:0006612	protein targeting to membrane
49	75	1.16037424458105	3.62349290456514e-27	<0.001	GO:0019083	viral transcription
48	74	1.15032741980667	2.0707786723362e-26	<0.001	GO:0044391	ribosomal subunit
49	77	1.12846914784863	2.21332914263973e-26	<0.001	GO:0019080	viral genome expression
52	82	1.1278315101911	7.32140527011312e-28	<0.001	GO:0043241	protein complex disassembly
53	86	1.09601753003992	1.71273033351851e-27	<0.001	GO:0032984	macromolecular complex disassembly
51	87	1.03937301500715	5.21114421505547e-25	<0.001	GO:0044445	cytosolic part
56	103	0.969519868193815	3.94300335858312e-25	<0.001	GO:0090150	establishment of protein localization to membrane
47	88	0.942995812790602	9.80833892825793e-21	<0.001	GO:0003735	structural constituent of ribosome
19	35	0.928923699287688	3.48082169490387e-09	<0.001	GO:0015935	small ribosomal subunit
58	112	0.926266907297395	1.49013235601023e-24	<0.001	GO:0072657	protein localization to membrane
57	112	0.909514737994054	1.23974356232689e-23	<0.001	GO:0006402	mRNA catabolic process
54	106	0.907221428359555	1.95047445122658e-22	<0.001	GO:0000956	nuclear-transcribed mRNA catabolic process
57	118	0.864004129344908	3.63474440678422e-22	<0.001	GO:0019058	viral life cycle
60	126	0.855019435526328	6.66123376946607e-23	<0.001	GO:0006401	RNA catabolic process
53	116	0.813662672625827	3.02920991195975e-19	<0.001	GO:0005840	ribosome
63	151	0.752169011075318	3.22600715587722e-20	<0.001	GO:0022411	cellular component disassembly
15	34	0.751853156331861	5.02692422816692e-06	0.005	GO:0050851	antigen receptor-mediated signaling pathway
407	3005	0.691683179565415	4.75046096342459e-09	<0.001	GO:0005623	cell
407	3005	0.691683179565415	4.75046096342459e-09	<0.001	GO:0044464	cell part
17	42	0.689311415539686	4.92165157908141e-06	0.004	GO:0008135	translation factor activity, nucleic acid binding
96	265	0.681526084474928	2.66168156479442e-25	<0.001	GO:0006412	translation
18	45	0.681437771781441	3.1564354169982e-06	0.002	GO:0030098	lymphocyte differentiation
60	158	0.679410213639243	6.9928871249351e-17	<0.001	GO:0005198	structural molecule activity
15	39	0.65195788699878	3.71241509731826e-05	0.036	GO:0006446	regulation of translational initiation
66	186	0.636850653428151	9.69251697417918e-17	<0.001	GO:0072594	establishment of protein localization to organelle
81	242	0.610515333880656	1.02945125061585e-18	<0.001	GO:0044802	single-organism membrane organization
407	3051	0.601773709810557	8.59640136773576e-07	<0.001	GO:0005575	cellular_component
65	194	0.596320228385323	4.598073509581e-15	<0.001	GO:0006605	protein targeting
83	256	0.590589730869293	3.41891687374379e-18	<0.001	GO:0061024	membrane organization
23	66	0.589218998841888	2.33444766342908e-06	0.002	GO:0002521	leukocyte differentiation
73	225	0.581726666429532	5.19305254737634e-16	<0.001	GO:0033365	protein localization to organelle
20	59	0.569105589229516	1.73909694450604e-05	0.015	GO:0002429	immune response-activating cell surface receptor signaling pathway
101	342	0.544809325914771	6.95322927237182e-19	<0.001	GO:0030529	ribonucleoprotein complex
399	2906	0.538067943880748	7.04755863362343e-09	<0.001	GO:0008150	biological_process
95	328	0.526091827180075	4.51888877426531e-17	<0.001	GO:0016032	viral process
95	328	0.526091827180075	4.51888877426531e-17	<0.001	GO:0044764	multi-organism cellular process
399	2922	0.515420238383951	3.70166584760582e-08	<0.001	GO:0003674	molecular_function
124	455	0.51376816822262	3.8368212276192e-20	<0.001	GO:0043933	macromolecular complex subunit organization
104	373	0.509320503143995	1.9854036625459e-17	<0.001	GO:0071822	protein complex subunit organization
95	339	0.504280638307883	5.17637807567803e-16	<0.001	GO:0044403	symbiosis, encompassing mutualism through parasitism
95	339	0.504280638307883	5.17637807567803e-16	<0.001	GO:0044419	interspecies interaction between organisms
390	2764	0.500147695577294	1.47949896737652e-10	<0.001	GO:0009987	cellular process
25	84	0.488412449531562	2.09839955739439e-05	0.019	GO:0071826	ribonucleoprotein complex subunit organization
24	81	0.485086238214435	3.33997694713904e-05	0.036	GO:0022618	ribonucleoprotein complex assembly
83	301	0.483115282865325	1.61438542397461e-13	<0.001	GO:0006886	intracellular protein transport
