TERM1	INTERACTION	TERM2	KAPPA_SIMILARITY
GO:0044421	kappa	GO:0005604	0.14
GO:0044421	kappa	GO:0006935	0.12
GO:0044421	kappa	GO:0031012	0.31
GO:0044421	kappa	GO:0050900	0.14
GO:0044421	kappa	GO:0042330	0.12
GO:0044421	kappa	GO:0044420	0.18
GO:0044421	kappa	GO:0043062	0.18
GO:0044421	kappa	GO:0040017	0.11
GO:0044421	kappa	GO:0030198	0.18
GO:0044421	kappa	GO:0005576	0.68
GO:0044421	kappa	GO:0005615	0.8
GO:0044421	kappa	GO:0016477	0.1
GO:0044421	kappa	GO:0005578	0.31
GO:0044421	kappa	GO:0009986	0.13
GO:0002694	kappa	GO:0016064	0.15
GO:0002694	kappa	GO:0009897	0.16
GO:0002694	kappa	GO:0018212	0.19
GO:0002694	kappa	GO:0046903	0.11
GO:0002694	kappa	GO:0002443	0.3
GO:0002694	kappa	GO:0050707	0.12
GO:0002694	kappa	GO:0048870	0.1
GO:0002694	kappa	GO:0050776	0.34
GO:0002694	kappa	GO:0050900	0.18
GO:0002694	kappa	GO:0002682	0.43
GO:0002694	kappa	GO:0002429	0.27
GO:0002694	kappa	GO:0019724	0.16
GO:0002694	kappa	GO:0050866	0.44
GO:0002694	kappa	GO:0050867	0.79
GO:0002694	kappa	GO:0070372	0.12
GO:0002694	kappa	GO:0050778	0.29
GO:0002694	kappa	GO:0038023	0.11
GO:0002694	kappa	GO:0050663	0.12
GO:0002694	kappa	GO:0002253	0.23
GO:0002694	kappa	GO:0032101	0.13
GO:0002694	kappa	GO:0030155	0.1
GO:0002694	kappa	GO:0006955	0.25
GO:0002694	kappa	GO:0051674	0.1
GO:0002694	kappa	GO:0071346	0.11
GO:0002694	kappa	GO:0051046	0.14
GO:0002694	kappa	GO:0051249	0.95
GO:0002694	kappa	GO:0004871	0.1
GO:0002694	kappa	GO:0002250	0.32
GO:0002694	kappa	GO:0002768	0.29
GO:0002694	kappa	GO:0050851	0.28
GO:0002694	kappa	GO:0002764	0.26
GO:0002694	kappa	GO:0051050	0.1
GO:0002694	kappa	GO:0018108	0.19
GO:0002694	kappa	GO:0050865	0.98
GO:0002694	kappa	GO:0032940	0.11
GO:0002694	kappa	GO:0016477	0.11
GO:0002694	kappa	GO:0070371	0.11
GO:0002694	kappa	GO:0002757	0.24
GO:0002694	kappa	GO:0060089	0.1
GO:0002694	kappa	GO:0002684	0.5
GO:0002694	kappa	GO:0009986	0.14
GO:0030335	kappa	GO:0018212	0.22
GO:0030335	kappa	GO:0022610	0.19
GO:0030335	kappa	GO:0007160	0.18
GO:0030335	kappa	GO:0034332	0.12
GO:0030335	kappa	GO:0007155	0.19
GO:0030335	kappa	GO:0045667	0.15
GO:0030335	kappa	GO:0001763	0.13
GO:0030335	kappa	GO:0051272	0.96
GO:0030335	kappa	GO:0048870	0.38
GO:0030335	kappa	GO:0006935	0.25
GO:0030335	kappa	GO:0006874	0.13
GO:0030335	kappa	GO:0050900	0.3
GO:0030335	kappa	GO:0042330	0.25
GO:0030335	kappa	GO:0002682	0.12
GO:0030335	kappa	GO:0003013	0.1
GO:0030335	kappa	GO:0002009	0.11
GO:0030335	kappa	GO:2000147	0.99
GO:0030335	kappa	GO:0060326	0.35
GO:0030335	kappa	GO:0050867	0.12
GO:0030335	kappa	GO:0070372	0.2
GO:0030335	kappa	GO:0014066	0.13
GO:0030335	kappa	GO:2000145	0.68
GO:0030335	kappa	GO:0043062	0.13
GO:0030335	kappa	GO:0051270	0.63
GO:0030335	kappa	GO:0032101	0.23
GO:0030335	kappa	GO:0030334	0.73
GO:0030335	kappa	GO:0030155	0.31
GO:0030335	kappa	GO:0061138	0.14
GO:0030335	kappa	GO:0072503	0.13
GO:0030335	kappa	GO:0051674	0.38
GO:0030335	kappa	GO:0040017	0.98
GO:0030335	kappa	GO:0045216	0.14
