GO_TERM	FULL_NAME
GO:0000002	mitochondrial genome maintenance
GO:0000003	reproduction
GO:0000009	alpha-1,6-mannosyltransferase activity
GO:0000012	single strand break repair
GO:0000014	single-stranded DNA endodeoxyribonuclease activity
GO:0000015	phosphopyruvate hydratase complex
GO:0000018	regulation of DNA recombination
GO:0000019	regulation of mitotic recombination
GO:0000022	mitotic spindle elongation
GO:0000023	maltose metabolic process
GO:0000026	alpha-1,2-mannosyltransferase activity
GO:0000027	ribosomal large subunit assembly
GO:0000028	ribosomal small subunit assembly
GO:0000030	mannosyltransferase activity
GO:0000033	alpha-1,3-mannosyltransferase activity
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process
GO:0000038	very long-chain fatty acid metabolic process
GO:0000041	transition metal ion transport
GO:0000042	protein targeting to Golgi
GO:0000045	autophagic vacuole assembly
GO:0000046	autophagic vacuole fusion
GO:0000049	tRNA binding
GO:0000050	urea cycle
GO:0000052	citrulline metabolic process
GO:0000054	ribosomal subunit export from nucleus
GO:0000055	ribosomal large subunit export from nucleus
GO:0000059	protein import into nucleus, docking
GO:0000060	protein import into nucleus, translocation
GO:0000062	fatty-acyl-CoA binding
GO:0000064	L-ornithine transmembrane transporter activity
GO:0000066	mitochondrial ornithine transport
GO:0000070	mitotic sister chromatid segregation
GO:0000075	cell cycle checkpoint
GO:0000076	DNA replication checkpoint
GO:0000077	DNA damage checkpoint
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000080	G1 phase of mitotic cell cycle
GO:0000082	G1/S transition of mitotic cell cycle
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000084	S phase of mitotic cell cycle
GO:0000085	G2 phase of mitotic cell cycle
GO:0000086	G2/M transition of mitotic cell cycle
GO:0000087	M phase of mitotic cell cycle
GO:0000089	mitotic metaphase
GO:0000090	mitotic anaphase
GO:0000093	mitotic telophase
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
GO:0000096	sulfur amino acid metabolic process
GO:0000097	sulfur amino acid biosynthetic process
GO:0000098	sulfur amino acid catabolic process
GO:0000099	sulfur amino acid transmembrane transporter activity
GO:0000101	sulfur amino acid transport
GO:0000103	sulfate assimilation
GO:0000104	succinate dehydrogenase activity
GO:0000105	histidine biosynthetic process
GO:0000109	nucleotide-excision repair complex
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000118	histone deacetylase complex
GO:0000120	RNA polymerase I transcription factor complex
GO:0000122	negative regulation of transcription from RNA polymerase II promoter
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000125	PCAF complex
GO:0000126	transcription factor TFIIIB complex
GO:0000127	transcription factor TFIIIC complex
GO:0000132	establishment of mitotic spindle orientation
GO:0000133	polarisome
GO:0000137	Golgi cis cisterna
GO:0000138	Golgi trans cisterna
GO:0000139	Golgi membrane
GO:0000145	exocyst
GO:0000146	microfilament motor activity
GO:0000149	SNARE binding
GO:0000150	recombinase activity
GO:0000151	ubiquitin ligase complex
GO:0000152	nuclear ubiquitin ligase complex
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0000154	rRNA modification
GO:0000155	phosphorelay sensor kinase activity
GO:0000156	phosphorelay response regulator activity
GO:0000159	protein phosphatase type 2A complex
GO:0000160	phosphorelay signal transduction system
GO:0000164	protein phosphatase type 1 complex
GO:0000165	MAPK cascade
GO:0000166	nucleotide binding
GO:0000171	ribonuclease MRP activity
GO:0000172	ribonuclease MRP complex
GO:0000173	inactivation of MAPK activity involved in osmosensory signaling pathway
GO:0000175	3'-5'-exoribonuclease activity
GO:0000176	nuclear exosome (RNase complex)
GO:0000177	cytoplasmic exosome (RNase complex)
GO:0000178	exosome (RNase complex)
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000182	rDNA binding
GO:0000183	chromatin silencing at rDNA
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	activation of MAPKKK activity
GO:0000186	activation of MAPKK activity
GO:0000187	activation of MAPK activity
GO:0000188	inactivation of MAPK activity
GO:0000189	MAPK import into nucleus
GO:0000209	protein polyubiquitination
GO:0000210	NAD+ diphosphatase activity
GO:0000212	meiotic spindle organization
GO:0000213	tRNA-intron endonuclease activity
GO:0000214	tRNA-intron endonuclease complex
GO:0000215	tRNA 2'-phosphotransferase activity
GO:0000217	DNA secondary structure binding
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000226	microtubule cytoskeleton organization
GO:0000228	nuclear chromosome
GO:0000229	cytoplasmic chromosome
GO:0000235	astral microtubule
GO:0000236	mitotic prometaphase
GO:0000242	pericentriolar material
GO:0000243	commitment complex
GO:0000244	assembly of spliceosomal tri-snRNP
GO:0000245	spliceosomal complex assembly
GO:0000247	C-8 sterol isomerase activity
GO:0000248	C-5 sterol desaturase activity
GO:0000250	lanosterol synthase activity
GO:0000253	3-keto sterol reductase activity
GO:0000254	C-4 methylsterol oxidase activity
GO:0000255	allantoin metabolic process
GO:0000257	nitrilase activity
GO:0000262	mitochondrial chromosome
GO:0000266	mitochondrial fission
GO:0000268	peroxisome targeting sequence binding
GO:0000271	polysaccharide biosynthetic process
GO:0000272	polysaccharide catabolic process
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000278	mitotic cell cycle
GO:0000279	M phase
GO:0000280	nuclear division
GO:0000281	mitotic cytokinesis
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000287	magnesium ion binding
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0000293	ferric-chelate reductase activity
GO:0000295	adenine nucleotide transmembrane transporter activity
GO:0000296	spermine transport
GO:0000301	retrograde transport, vesicle recycling within Golgi
GO:0000302	response to reactive oxygen species
GO:0000303	response to superoxide
GO:0000305	response to oxygen radical
GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
GO:0000313	organellar ribosome
GO:0000314	organellar small ribosomal subunit
GO:0000315	organellar large ribosomal subunit
GO:0000320	re-entry into mitotic cell cycle
GO:0000323	lytic vacuole
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0000338	protein deneddylation
GO:0000339	RNA cap binding
GO:0000340	RNA 7-methylguanosine cap binding
GO:0000346	transcription export complex
GO:0000347	THO complex
GO:0000354	cis assembly of pre-catalytic spliceosome
GO:0000375	RNA splicing, via transesterification reactions
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000379	tRNA-type intron splice site recognition and cleavage
GO:0000380	alternative mRNA splicing, via spliceosome
GO:0000381	regulation of alternative mRNA splicing, via spliceosome
GO:0000386	second spliceosomal transesterification activity
GO:0000387	spliceosomal snRNP assembly
GO:0000389	mRNA 3'-splice site recognition
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
GO:0000395	mRNA 5'-splice site recognition
GO:0000398	mRNA splicing, via spliceosome
GO:0000400	four-way junction DNA binding
GO:0000403	Y-form DNA binding
GO:0000404	loop DNA binding
GO:0000405	bubble DNA binding
GO:0000406	double-strand/single-strand DNA junction binding
GO:0000407	pre-autophagosomal structure
GO:0000409	regulation of transcription by galactose
GO:0000411	positive regulation of transcription by galactose
GO:0000413	protein peptidyl-prolyl isomerization
GO:0000414	regulation of histone H3-K36 methylation
GO:0000415	negative regulation of histone H3-K36 methylation
GO:0000416	positive regulation of histone H3-K36 methylation
GO:0000421	autophagic vacuole membrane
GO:0000422	mitochondrion degradation
GO:0000423	macromitophagy
GO:0000428	DNA-directed RNA polymerase complex
GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter
GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose
GO:0000431	regulation of transcription from RNA polymerase II promoter by galactose
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose
GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter
GO:0000439	core TFIIH complex
GO:0000441	SSL2-core TFIIH complex
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000460	maturation of 5.8S rRNA
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000469	cleavage involved in rRNA processing
GO:0000470	maturation of LSU-rRNA
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000478	endonucleolytic cleavage involved in rRNA processing
