TERM1	INTERACTION	TERM2	KAPPA_SIMILARITY
GO:0044421	kappa	GO:0002694	0.068
GO:0044421	kappa	GO:0030335	0.097
GO:0044421	kappa	GO:0016064	0.03
GO:0044421	kappa	GO:0009897	0.092
GO:0044421	kappa	GO:0004896	0.02
GO:0044421	kappa	GO:0051410	-0.0023
GO:0044421	kappa	GO:0018212	0.042
GO:0044421	kappa	GO:0005604	0.14
GO:0044421	kappa	GO:0022610	0.086
GO:0044421	kappa	GO:0006956	0.026
GO:0044421	kappa	GO:0007160	0.011
GO:0044421	kappa	GO:0006958	0.013
GO:0044421	kappa	GO:0044057	0.027
GO:0044421	kappa	GO:0034332	0.0042
GO:0044421	kappa	GO:0007155	0.087
GO:0044421	kappa	GO:0009743	0.0056
GO:0044421	kappa	GO:0045177	0.0041
GO:0044421	kappa	GO:0046903	0.069
GO:0044421	kappa	GO:0045667	0.029
GO:0044421	kappa	GO:0031252	-0.0089
GO:0044421	kappa	GO:0002443	0.074
GO:0044421	kappa	GO:0070161	-0.023
GO:0044421	kappa	GO:0001763	0.048
GO:0044421	kappa	GO:0050707	0.056
GO:0044421	kappa	GO:0019932	0.014
GO:0044421	kappa	GO:0051272	0.098
GO:0044421	kappa	GO:0048870	0.094
GO:0044421	kappa	GO:0006935	0.12
GO:0044421	kappa	GO:0005516	-0.016
GO:0044421	kappa	GO:0006874	0.013
GO:0044421	kappa	GO:0005886	-0.0046
GO:0044421	kappa	GO:0050776	0.018
GO:0044421	kappa	GO:0031012	0.31
GO:0044421	kappa	GO:0019955	0.044
GO:0044421	kappa	GO:0004867	0.057
GO:0044421	kappa	GO:0050900	0.14
GO:0044421	kappa	GO:0004872	0.04
GO:0044421	kappa	GO:0055002	-0.0026
GO:0044421	kappa	GO:0042330	0.12
GO:0044421	kappa	GO:0002682	0.047
GO:0044421	kappa	GO:0005509	0.051
GO:0044421	kappa	GO:0003013	0.016
GO:0044421	kappa	GO:0055001	-0.0049
GO:0044421	kappa	GO:0002009	0.021
GO:0044421	kappa	GO:0016324	-0.0038
GO:0044421	kappa	GO:0030054	-0.034
GO:0044421	kappa	GO:0009581	0.0031
GO:0044421	kappa	GO:0002429	-0.038
GO:0044421	kappa	GO:0015026	0.0088
GO:0044421	kappa	GO:2000147	0.095
GO:0044421	kappa	GO:0060326	0.093
GO:0044421	kappa	GO:0005911	-0.015
GO:0044421	kappa	GO:0044420	0.18
GO:0044421	kappa	GO:0004888	0.032
GO:0044421	kappa	GO:0003823	-0.017
GO:0044421	kappa	GO:0019724	0.03
GO:0044421	kappa	GO:0004714	0.007
GO:0044421	kappa	GO:0050866	0.036
GO:0044421	kappa	GO:0050867	0.073
GO:0044421	kappa	GO:0070372	0.033
GO:0044421	kappa	GO:0014066	0.025
GO:0044421	kappa	GO:2000145	0.088
GO:0044421	kappa	GO:0043062	0.18
GO:0044421	kappa	GO:0007631	-0.0078
GO:0044421	kappa	GO:0050778	-0.0073
GO:0044421	kappa	GO:0004950	-0.0051
GO:0044421	kappa	GO:0038023	0.023
GO:0044421	kappa	GO:0050663	0.052
GO:0044421	kappa	GO:0002253	-0.033
GO:0044421	kappa	GO:0051270	0.086
GO:0044421	kappa	GO:0007416	-0.00095
GO:0044421	kappa	GO:0072376	0.039
GO:0044421	kappa	GO:0032101	0.096
GO:0044421	kappa	GO:0030334	0.099
GO:0044421	kappa	GO:1901681	0.07
GO:0044421	kappa	GO:0050808	-0.014
GO:0044421	kappa	GO:0045202	-0.017
GO:0044421	kappa	GO:0030155	0.056
GO:0044421	kappa	GO:0007186	0.0068
GO:0044421	kappa	GO:0005201	0.062
GO:0044421	kappa	GO:0061138	0.049
GO:0044421	kappa	GO:0006955	0.054
GO:0044421	kappa	GO:0007528	-0.0021
GO:0044421	kappa	GO:0002675	0.019
GO:0044421	kappa	GO:0043616	-0.004
GO:0044421	kappa	GO:0072503	0.0094
GO:0044421	kappa	GO:0051674	0.094
GO:0044421	kappa	GO:0048747	-0.014
GO:0044421	kappa	GO:0019838	0.046
GO:0044421	kappa	GO:0040017	0.11
GO:0044421	kappa	GO:0071346	0.0076
GO:0044421	kappa	GO:0045216	0.0041
GO:0044421	kappa	GO:0051046	0.033
GO:0044421	kappa	GO:0005178	0.079
GO:0044421	kappa	GO:0005887	0.042
GO:0044421	kappa	GO:0005913	0.0031
GO:0044421	kappa	GO:0051249	0.067
GO:0044421	kappa	GO:0004871	-0.014
GO:0044421	kappa	GO:0060333	-0.0065
GO:0044421	kappa	GO:0070160	-0.022
GO:0044421	kappa	GO:0016337	0.061
GO:0044421	kappa	GO:0048729	0.032
GO:0044421	kappa	GO:0014068	0.024
GO:0044421	kappa	GO:0002250	0.069
GO:0044421	kappa	GO:0001637	-0.0051
