# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-05-23 08:56:59-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.goa_human.gz
#   revision: 0
#   downloaded on: 2013-10-27 16:13:44-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2012-02-05 16:36:50.758813-05
#     synergizer db built from: Ensembl Genes 65 / Ensembl Metazoa Genes 12 / Ensembl Plants Genes 10
#   namespace: ensembl_gene_id
#   coverage: 99.6%
# size of "genespace": 9651
# number of attributes: 14476
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 627
# Number of entities in query: 627
# Total number of entities: 9651
# Total number of attributes: 14476
# Original total number of attributes: 17521
# Translation required: yes
# Translation coverage: 0.995851
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
4	4	2.11482920089982	1.76557939133594e-05	0.031	GO:0051410	detoxification of nitrogen compound
7	9	1.63970635961646	1.51773443132618e-07	0.001	GO:0001637	G-protein coupled chemoattractant receptor activity
7	9	1.63970635961646	1.51773443132618e-07	0.001	GO:0004950	chemokine receptor activity
5	7	1.50361021578598	2.14372610100097e-05	0.039	GO:0002675	positive regulation of acute inflammatory response
5	7	1.50361021578598	2.14372610100097e-05	0.039	GO:0043616	keratinocyte proliferation
9	14	1.40120367473064	2.90674997940878e-08	<0.001	GO:0004714	transmembrane receptor protein tyrosine kinase activity
6	10	1.32149032073807	1.22961898960902e-05	0.021	GO:0005201	extracellular matrix structural constituent
9	16	1.26640878892241	1.47537952641915e-07	0.001	GO:0006958	complement activation, classical pathway
6	11	1.23429199707213	2.5589917279043e-05	0.042	GO:0004364	glutathione transferase activity
6	11	1.23429199707213	2.5589917279043e-05	0.042	GO:0015026	coreceptor activity
7	13	1.22454043052973	5.7435696944657e-06	0.007	GO:0035272	exocrine system development
8	15	1.21740250260091	1.29907447157967e-06	0.003	GO:0007416	synapse assembly
10	19	1.20781854956553	6.75007083460233e-08	0.001	GO:0006956	complement activation
10	19	1.20781854956553	6.75007083460233e-08	0.001	GO:0019199	transmembrane receptor protein kinase activity
7	14	1.16234436515565	1.08439490899332e-05	0.018	GO:0007631	feeding behavior
11	23	1.12870002414129	5.25761723994714e-08	0.001	GO:0002455	humoral immune response mediated by circulating immunoglobulin
8	17	1.1146438274295	4.36587102604981e-06	0.006	GO:0004867	serine-type endopeptidase inhibitor activity
8	17	1.1146438274295	4.36587102604981e-06	0.006	GO:0007528	neuromuscular junction development
7	15	1.10793853886696	1.91947014244824e-05	0.032	GO:0050803	regulation of synapse structure and activity
10	22	1.08848760185766	3.95005030031577e-07	0.002	GO:0072376	protein activation cascade
9	20	1.08057952403902	1.70955647567015e-06	0.004	GO:0001653	peptide receptor activity
9	20	1.08057952403902	1.70955647567015e-06	0.004	GO:0008528	G-protein coupled peptide receptor activity
10	23	1.05501565568248	6.58367198658661e-07	0.002	GO:0014068	positive regulation of phosphatidylinositol 3-kinase cascade
12	28	1.04485049440872	5.90871660684002e-08	0.001	GO:0044420	extracellular matrix part
9	21	1.04431916604314	2.81998249019156e-06	0.005	GO:0005604	basement membrane
9	22	1.01084721986796	4.49841795150751e-06	0.006	GO:0031032	actomyosin structure organization
20	51	0.983825763989672	1.5355471086892e-11	<0.001	GO:0005578	proteinaceous extracellular matrix
8	21	0.961840933546458	2.89319206090806e-05	0.048	GO:0005913	cell-cell adherens junction
11	29	0.958149084373424	9.38566218397823e-07	0.002	GO:0004896	cytokine receptor activity
15	40	0.950903805997642	1.15126032082038e-08	<0.001	GO:0050808	synapse organization
12	32	0.950387697096522	3.44577956140784e-07	0.001	GO:0003823	antigen binding
18	49	0.937816203652881	5.76483514272821e-10	<0.001	GO:0006959	humoral immune response
9	25	0.923552439991703	1.54870808841302e-05	0.025	GO:0019955	cytokine binding
20	57	0.907815214448625	1.65446627956272e-10	<0.001	GO:0031012	extracellular matrix
12	35	0.890928979290763	1.06267781394719e-06	0.002	GO:0070374	positive regulation of ERK1 and ERK2 cascade
12	38	0.83860620279705	2.87781939181399e-06	0.005	GO:0050707	regulation of cytokine secretion
25	80	0.835058380268641	1.58272520053881e-11	<0.001	GO:0009897	external side of plasma membrane
16	51	0.834594666538674	7.03543155800283e-08	0.001	GO:0043296	apical junction complex
10	32	0.832732949070195	2.17435545891043e-05	0.039	GO:0019838	growth factor binding
17	55	0.825482229542939	3.51156744710175e-08	<0.001	GO:0030595	leukocyte chemotaxis
11	36	0.818442960285782	1.07177124701966e-05	0.017	GO:0005178	integrin binding
10	33	0.813799360688276	2.94001769309515e-05	0.049	GO:0014066	regulation of phosphatidylinositol 3-kinase cascade
21	70	0.808061107034538	1.57767752560225e-09	<0.001	GO:0060326	cell chemotaxis
13	44	0.797430066476801	2.5798079508871e-06	0.005	GO:0050663	cytokine secretion
26	89	0.793617226095355	3.42327778143217e-11	<0.001	GO:0030198	extracellular matrix organization
26	89	0.793617226095355	3.42327778143217e-11	<0.001	GO:0043062	extracellular structure organization
12	41	0.791885247656019	7.00852169436366e-06	0.011	GO:0022612	gland morphogenesis
13	45	0.783808966784208	3.41489340889866e-06	0.005	GO:0034332	adherens junction organization
12	42	0.777359142521709	9.23909122379585e-06	0.015	GO:0005923	tight junction
12	42	0.777359142521709	9.23909122379585e-06	0.015	GO:0070160	occluding junction
16	56	0.777126372648652	3.00730370705193e-07	0.001	GO:0004930	G-protein coupled receptor activity
15	53	0.771355454271267	8.08808780868217e-07	0.002	GO:0070372	regulation of ERK1 and ERK2 cascade
32	115	0.766725500561635	7.86906733358331e-13	<0.001	GO:0005911	cell-cell junction
43	156	0.766659691360005	1.18445357402312e-16	<0.001	GO:0004888	transmembrane signaling receptor activity
13	47	0.757776631570152	5.83062631194567e-06	0.007	GO:0009581	detection of external stimulus
13	47	0.757776631570152	5.83062631194567e-06	0.007	GO:1901681	sulfur compound binding
23	84	0.753274064118234	1.93648291835069e-09	<0.001	GO:0045216	cell-cell junction organization
12	44	0.749679041252396	1.56247570079206e-05	0.025	GO:0006937	regulation of muscle contraction
15	55	0.749264494940772	1.36362689814648e-06	0.003	GO:0090257	regulation of muscle system process
16	59	0.745947100117877	6.59656704618801e-07	0.002	GO:0016323	basolateral plasma membrane
13	49	0.733206239575306	9.64461131689234e-06	0.017	GO:0045667	regulation of osteoblast differentiation
19	72	0.730285308242994	9.54628639049213e-08	0.001	GO:0001763	morphogenesis of a branching structure
15	58	0.718085222409996	2.84010892811579e-06	0.005	GO:0016064	immunoglobulin mediated immune response
18	70	0.714952182047934	3.18163443987079e-07	0.001	GO:0061138	morphogenesis of a branching epithelium
50	200	0.712346783367748	3.13593711281655e-17	<0.001	GO:0038023	signaling receptor activity
15	59	0.708166111354156	3.5834113064595e-06	0.006	GO:0019724	B cell mediated immunity
18	72	0.69861816670649	5.02619844506571e-07	0.002	GO:0055002	striated muscle cell development
15	61	0.688976439229933	5.60984287863042e-06	0.006	GO:0070371	ERK1 and ERK2 cascade
13	53	0.687850771079584	2.42869338464985e-05	0.04	GO:0060333	interferon-gamma-mediated signaling pathway
22	90	0.686516129377327	4.230975358298e-08	<0.001	GO:0034329	cell junction assembly
60	257	0.678060135059964	6.73900342835887e-19	<0.001	GO:0044421	extracellular region part
13	54	0.677209356700331	3.01162603856572e-05	0.049	GO:0048747	muscle fiber development
17	71	0.67377252866327	1.99936473901935e-06	0.005	GO:0030674	protein binding, bridging
24	101	0.670888814486896	1.86517099070532e-08	<0.001	GO:0034330	cell junction organization
41	175	0.669983982216817	2.61540517317799e-13	<0.001	GO:0005615	extracellular space
23	97	0.669362581226432	3.85861906822507e-08	<0.001	GO:0045177	apical part of cell
14	59	0.66879419330169	1.78596230813216e-05	0.031	GO:0050866	negative regulation of cell activation
15	64	0.661679057455246	1.05703616992841e-05	0.017	GO:0019932	second-messenger-mediated signaling
15	64	0.661679057455246	1.05703616992841e-05	0.017	GO:0071346	cellular response to interferon-gamma
18	77	0.660255567609426	1.45945653671485e-06	0.003	GO:0055001	muscle cell development
18	77	0.660255567609426	1.45945653671485e-06	0.003	GO:0060090	binding, bridging
21	90	0.659712688345806	2.02395234964998e-07	0.001	GO:0018108	peptidyl-tyrosine phosphorylation
42	183	0.658689697462221	2.80688945093407e-13	<0.001	GO:0009986	cell surface
18	78	0.652968715352283	1.78440533636105e-06	0.004	GO:0004713	protein tyrosine kinase activity
17	74	0.650355921063767	3.68659561501773e-06	0.006	GO:0005516	calmodulin binding
14	61	0.650015239345196	2.67864222293145e-05	0.043	GO:0016324	apical plasma membrane
16	70	0.647507631099479	7.6181176522139e-06	0.013	GO:0007160	cell-matrix adhesion
21	92	0.647294450859288	3.0136571466187e-07	0.001	GO:0018212	peptidyl-tyrosine modification
99	468	0.644455807083009	2.92048831310199e-27	<0.001	GO:0005576	extracellular region
15	68	0.627736884580281	2.30542215012176e-05	0.039	GO:0009743	response to carbohydrate stimulus
34	156	0.625774265428404	2.44869800499712e-10	<0.001	GO:0044057	regulation of system process
24	110	0.622737346946818	1.07932670469006e-07	0.001	GO:0016337	cell-cell adhesion
15	69	0.619645753391599	2.77224587201807e-05	0.048	GO:0051480	cytosolic calcium ion homeostasis
61	291	0.617215425090812	9.13067736304612e-17	<0.001	GO:0004872	receptor activity
26	121	0.614834012284633	4.43332194030871e-08	0.001	GO:0008015	blood circulation
26	122	0.610261431877217	5.29559098364001e-08	0.001	GO:0003013	circulatory system process
32	151	0.609291997857662	1.76034751690653e-09	<0.001	GO:0002429	immune response-activating cell surface receptor signaling pathway
26	124	0.601255221083808	7.50653738421804e-08	0.001	GO:0050900	leukocyte migration
20	97	0.590607583341136	3.1638855141425e-06	0.005	GO:0031589	cell-substrate adhesion
22	107	0.589415484620224	1.07669460214061e-06	0.002	GO:0030335	positive regulation of cell migration
121	647	0.587940731464964	3.80638134371576e-28	<0.001	GO:0044459	plasma membrane part
34	168	0.584602273738937	1.94839417018409e-09	<0.001	GO:0007186	G-protein coupled receptor signaling pathway
22	110	0.574292559635361	1.75982811371198e-06	0.004	GO:2000147	positive regulation of cell motility
21	106	0.568954768700946	3.53929535860779e-06	0.006	GO:0070161	anchoring junction
19	96	0.568174033352166	1.04192153186446e-05	0.017	GO:0050851	antigen receptor-mediated signaling pathway
19	96	0.568174033352166	1.04192153186446e-05	0.017	GO:0072001	renal system development
22	112	0.5644900445959	2.41443171497704e-06	0.005	GO:0040017	positive regulation of locomotion
20	102	0.563212579056487	7.10234793318177e-06	0.011	GO:0005912	adherens junction
32	165	0.560495362282399	1.74001038041387e-08	<0.001	GO:0045202	synapse
21	108	0.558815656499837	4.8331598843232e-06	0.006	GO:0055074	calcium ion homeostasis
62	329	0.558503767715084	1.02436807927269e-14	<0.001	GO:0007155	cell adhesion
62	330	0.556833670056812	1.18658676862098e-14	<0.001	GO:0022610	biological adhesion
39	204	0.555461842812798	7.18377693383515e-10	<0.001	GO:0050865	regulation of cell activation
20	104	0.552712677352975	9.65036464183726e-06	0.017	GO:0006874	cellular calcium ion homeostasis
23	120	0.551396800241228	2.22857888874192e-06	0.005	GO:0007600	sensory perception
22	115	0.550181162323195	3.81819225592871e-06	0.006	GO:0051272	positive regulation of cellular component movement
30	158	0.548277985148313	8.03891408619636e-08	0.001	GO:0002009	morphogenesis of an epithelium
69	378	0.544593281007141	1.54154754928773e-15	<0.001	GO:0016477	cell migration
21	111	0.544029328676622	7.58696813940666e-06	0.013	GO:0001655	urogenital system development
53	287	0.542934480212451	2.29177945689362e-12	<0.001	GO:0030054	cell junction
27	144	0.540537646506636	4.67458173911808e-07	0.002	GO:0043410	positive regulation of MAPK cascade
