# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-05-23 08:44:16-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.goa_human.gz
#   revision: 0
#   downloaded on: 2013-10-27 16:13:44-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2012-02-05 16:36:50.758813-05
#     synergizer db built from: Ensembl Genes 65 / Ensembl Metazoa Genes 12 / Ensembl Plants Genes 10
#   namespace: ensembl_gene_id
#   coverage: 99.6%
# size of "genespace": 9651
# number of attributes: 14476
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 1954
# Number of entities in query: 1954
# Total number of entities: 9651
# Total number of attributes: 14476
# Original total number of attributes: 17521
# Translation required: yes
# Translation coverage: 0.995851
# Mode: ordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	M	X	LOD	P	P_adj	attrib ID	attrib name
21	648	84	0.683412811987817	9.92112987509406e-08	0.007	GO:0001726	ruffle
34	648	170	0.561965753618007	6.26154980352859e-09	0	GO:0031252	cell leading edge
63	1180	200	0.537103046245873	2.98962797442477e-13	0	GO:0003779	actin binding
48	544	329	0.486132612129569	8.57230963822892e-10	0	GO:0007155	cell adhesion
48	544	330	0.484543352897896	9.51375174242979e-10	0	GO:0022610	biological adhesion
56	652	382	0.400749197025132	2.22546727578406e-08	0.004	GO:0008092	cytoskeletal protein binding
91	1722	264	0.399200333643413	3.96123732376474e-11	0	GO:0005543	phospholipid binding
57	1852	156	0.394178279679103	2.41377754238388e-07	0.014	GO:0004888	transmembrane signaling receptor activity
71	1852	200	0.376074120966936	3.23280765705356e-08	0.004	GO:0038023	signaling receptor activity
80	1095	359	0.370633329828707	1.24386242958248e-09	0	GO:0031226	intrinsic to plasma membrane
70	717	468	0.367800863169984	8.40239576037309e-09	0.001	GO:0005576	extracellular region
76	1095	349	0.356530750951344	9.62318323452365e-09	0.001	GO:0005887	integral to plasma membrane
97	1794	291	0.354702388822216	7.95932844151746e-10	0	GO:0004872	receptor activity
115	1722	363	0.34655064445263	5.09024594685962e-11	0	GO:0008289	lipid binding
70	1661	233	0.326487793327025	7.43220298125705e-07	0.042	GO:0060284	regulation of cell development
73	671	577	0.314578580122416	2.81100532031907e-07	0.017	GO:0009605	response to external stimulus
124	1852	387	0.313889051488843	5.39497696872975e-10	0	GO:0004871	signal transducer activity
124	1852	387	0.313889051488843	5.39497696872975e-10	0	GO:0060089	molecular transducer activity
95	1742	311	0.313844005749749	3.60891202375371e-08	0.004	GO:0042060	wound healing
74	672	597	0.303366085195444	5.53353599070783e-07	0.034	GO:0016192	vesicle-mediated transport
151	1742	510	0.300882807063239	3.84868116212409e-11	0	GO:0009611	response to wounding
106	1020	582	0.299553585045368	7.21002299887734e-09	0	GO:0042995	cell projection
90	1857	287	0.294392765525768	4.45213059136361e-07	0.025	GO:0030054	cell junction
159	1744	549	0.287046839589328	8.10152766667251e-11	0	GO:0040011	locomotion
123	1792	416	0.280367465032017	1.75933428202132e-08	0.001	GO:0048870	cell motility
123	1792	416	0.280367465032017	1.75933428202132e-08	0.001	GO:0051674	localization of cell
106	1700	378	0.274691522313867	2.08611356895911e-07	0.013	GO:0016477	cell migration
436	1867	1544	0.264006051571668	1.0704804911249e-20	0	GO:0071944	cell periphery
181	1755	647	0.263900354833324	1.50438919646163e-10	0	GO:0044459	plasma membrane part
407	1792	1495	0.262377532381719	1.59883945282078e-19	0	GO:0005886	plasma membrane
119	1689	438	0.26015137196839	1.67877366661815e-07	0.012	GO:0001775	cell activation
133	1857	456	0.25235158278053	1.07051708905096e-07	0.007	GO:0000902	cell morphogenesis
128	1756	465	0.247277205010828	2.48153860040423e-07	0.015	GO:0030030	cell projection organization
180	1792	654	0.241121168647779	3.87433055751283e-09	0	GO:0006928	cellular component movement
137	1857	481	0.237644214016592	3.16154073086228e-07	0.017	GO:0032989	cellular component morphogenesis
167	1693	651	0.228606367578137	4.83237987832385e-08	0.005	GO:0006629	lipid metabolic process
161	681	1568	0.2220262005307	1.43415840474648e-07	0.011	GO:0044765	single-organism transport
180	527	2362	0.218084033360232	1.78711908621021e-07	0.012	GO:0051179	localization
815	1785	3478	0.215271283428806	1.21200055255065e-20	0	GO:0016020	membrane
181	1683	746	0.199066620157836	5.53969898242713e-07	0.034	GO:0007399	nervous system development
476	1776	1962	0.197254509376488	1.67933182995241e-13	0	GO:0031224	intrinsic to membrane
471	1776	1946	0.194979508993399	3.71522113412557e-13	0	GO:0016021	integral to membrane
279	1700	1178	0.187976875341815	1.01705317829762e-08	0.001	GO:0007166	cell surface receptor signaling pathway
565	1776	2402	0.185810913668214	1.53671616844052e-13	0	GO:0044425	membrane part
298	1939	1133	0.17518759323234	4.14588358709057e-08	0.004	GO:0023051	regulation of signaling
340	1664	1517	0.172283235082723	9.84712861526514e-09	0.001	GO:0048731	system development
296	1939	1136	0.168832020022654	1.23038126022541e-07	0.008	GO:0010646	regulation of cell communication
577	1885	2373	0.166361742726094	1.80281317755988e-11	0	GO:0044707	single-multicellular organism process
358	1937	1397	0.163628836335297	2.7334884876136e-08	0.004	GO:0048583	regulation of response to stimulus
602	1948	2413	0.163011946325183	2.1840767371579e-11	0	GO:0007154	cell communication
391	1664	1792	0.159794411158092	1.69039924023223e-08	0.001	GO:0007275	multicellular organismal development
589	1885	2457	0.156959769892856	1.5057261234003e-10	0	GO:0032501	multicellular organismal process
582	1948	2351	0.155219860872998	2.54641433301228e-10	0	GO:0023052	signaling
582	1948	2351	0.155219860872998	2.54641433301228e-10	0	GO:0044700	single organism signaling
480	1700	2198	0.154738035591632	3.92608426298664e-09	0	GO:0007165	signal transduction
805	1919	3451	0.142732622445461	2.11998689596205e-10	0	GO:0050896	response to stimulus
392	1664	1848	0.140884312294014	4.9835583971724e-07	0.028	GO:0048856	anatomical structure development
436	1664	2095	0.131932614918428	9.04012826993056e-07	0.049	GO:0032502	developmental process
1078	1690	5653	0.115026576657569	8.39332574044108e-07	0.044	GO:0044699	single-organism process
