# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-05-23 08:58:52-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.goa_human.gz
#   revision: 0
#   downloaded on: 2013-10-27 16:13:44-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2012-02-05 16:36:50.758813-05
#     synergizer db built from: Ensembl Genes 65 / Ensembl Metazoa Genes 12 / Ensembl Plants Genes 10
#   namespace: ensembl_gene_id
#   coverage: 99.6%
# size of "genespace": 9651
# number of attributes: 14476
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 2581
# Number of entities in query: 2581
# Total number of entities: 9651
# Total number of attributes: 14476
# Original total number of attributes: 17521
# Translation required: yes
# Translation coverage: 0.995851
# Mode: ordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	M	X	LOD	P	P_adj	attrib ID	attrib name
6	486	8	1.69534134015394	4.06322835341268e-07	0.024	GO:0042613	MHC class II protein complex
10	838	14	1.39463553243788	1.67626493008861e-08	0.001	GO:0004714	transmembrane receptor protein tyrosine kinase activity
16	1213	21	1.32485358189931	3.88684369488503e-11	0	GO:0005913	cell-cell adherens junction
10	704	16	1.31801407323861	2.14547094374513e-08	0.001	GO:0006958	complement activation, classical pathway
9	580	17	1.24858438392825	1.51366260513007e-07	0.011	GO:0004867	serine-type endopeptidase inhibitor activity
13	1043	19	1.23899709702989	3.72071837074546e-09	0	GO:0019199	transmembrane receptor protein kinase activity
13	704	23	1.22056833978888	8.58430882049099e-10	0	GO:0002455	humoral immune response mediated by circulating immunoglobulin
12	1015	19	1.15631700587403	4.29698152128508e-08	0.002	GO:0006956	complement activation
12	801	22	1.12484540807975	2.92257401034539e-08	0.002	GO:0072376	protein activation cascade
11	1213	17	1.09365574852613	7.10946231686186e-07	0.039	GO:0014704	intercalated disc
11	1213	17	1.09365574852613	7.10946231686186e-07	0.039	GO:0044291	cell-cell contact zone
10	738	20	1.0871312069302	5.87076025566649e-07	0.03	GO:0001653	peptide receptor activity
10	738	20	1.0871312069302	5.87076025566649e-07	0.03	GO:0008528	G-protein coupled peptide receptor activity
17	2439	21	1.06340665198016	1.3600683464259e-07	0.009	GO:0050764	regulation of phagocytosis
12	874	23	1.04327930605166	1.49126310416354e-07	0.011	GO:0014068	positive regulation of phosphatidylinositol 3-kinase cascade
9	162	62	1.0380723876951	8.02561128384231e-07	0.044	GO:0019898	extrinsic to membrane
13	907	26	0.98950851343717	1.33370751383975e-07	0.009	GO:0071621	granulocyte chemotaxis
19	488	59	0.971105467932108	3.54539267344902e-11	0	GO:0016323	basolateral plasma membrane
17	743	40	0.959416438991196	1.61054296404333e-09	0	GO:0050808	synapse organization
13	998	26	0.942882245918755	4.11286213729059e-07	0.024	GO:0016459	myosin complex
15	1581	24	0.92409355198399	4.602903732795e-07	0.026	GO:0046456	icosanoid biosynthetic process
15	1581	24	0.92409355198399	4.602903732795e-07	0.026	GO:1901570	fatty acid derivative biosynthetic process
14	1109	27	0.922345425378245	3.04924872032063e-07	0.018	GO:0030048	actin filament-based movement
22	2100	32	0.890700925582608	1.5773379570634e-08	0.001	GO:0003823	antigen binding
22	815	55	0.872246148552905	1.62477091172858e-10	0	GO:0030595	leukocyte chemotaxis
26	1220	51	0.864134756728428	3.62623399949372e-11	0	GO:0005578	proteinaceous extracellular matrix
17	1815	27	0.860505897040355	5.28073218880978e-07	0.029	GO:0001948	glycoprotein binding
26	815	70	0.821646105600543	2.56221800300211e-11	0	GO:0060326	cell chemotaxis
32	1648	56	0.816117246731269	1.30231447984967e-11	0	GO:0004930	G-protein coupled receptor activity
20	1109	44	0.815723669848088	1.59156809112677e-08	0.001	GO:0006937	regulation of muscle contraction
21	1276	43	0.803307701700742	1.73877343768706e-08	0.001	GO:0019722	calcium-mediated signaling
18	881	49	0.774085419411559	1.23072713182783e-07	0.008	GO:0006959	humoral immune response
23	2490	34	0.772449271559174	3.53866072421923e-07	0.02	GO:0030018	Z disc
25	2017	41	0.771527378036178	2.67425201869845e-08	0.002	GO:0008217	regulation of blood pressure
21	1603	39	0.770665599257637	1.10983990578235e-07	0.007	GO:0002576	platelet degranulation
26	2345	40	0.759359932640825	5.54245992399398e-08	0.002	GO:0008016	regulation of heart contraction
21	1996	35	0.758572041110687	4.32478063681467e-07	0.025	GO:0002526	acute inflammatory response
19	703	63	0.755910686159195	5.52387638461725e-08	0.002	GO:0016358	dendrite development
16	824	47	0.755803273213229	8.26641959529559e-07	0.045	GO:0009581	detection of external stimulus
25	1263	55	0.751472676961676	4.01080881281123e-09	0	GO:0090257	regulation of muscle system process
41	815	124	0.749521935214044	4.81056283457259e-15	0	GO:0050900	leukocyte migration
54	1389	115	0.73577078337475	4.48480920190132e-17	0	GO:0005911	cell-cell junction
32	1855	57	0.734942264237922	6.05225166431518e-10	0	GO:0031012	extracellular matrix
100	2472	156	0.727604821475438	2.30490150106222e-24	0	GO:0004888	transmembrane signaling receptor activity
20	1678	38	0.725534136872486	7.84586775677347e-07	0.044	GO:0007043	cell-cell junction assembly
24	2490	37	0.720966117583571	6.40433953523728e-07	0.035	GO:0031674	I band
17	579	70	0.719744202782846	5.32696706602484e-07	0.03	GO:0007160	cell-matrix adhesion
22	787	72	0.710143627061755	2.97002817967383e-08	0.002	GO:0055002	striated muscle cell development
20	1420	43	0.708666688146964	6.36322270435527e-07	0.035	GO:0048839	inner ear development
19	995	53	0.698176471704799	5.89630079589424e-07	0.03	GO:0030017	sarcomere
21	1015	58	0.695275605557789	1.7414840905988e-07	0.011	GO:0016064	immunoglobulin mediated immune response
23	1996	41	0.691610226387799	6.55928213402785e-07	0.036	GO:0003018	vascular process in circulatory system
21	1015	59	0.683795638545888	2.43911316384082e-07	0.014	GO:0019724	B cell mediated immunity
21	995	60	0.68244081291549	2.41608798660274e-07	0.014	GO:0044449	contractile fiber part
23	995	66	0.679868653372432	7.10351257419412e-08	0.003	GO:0043292	contractile fiber
22	484	114	0.678799609416906	3.88234702744203e-08	0.002	GO:0043025	neuronal cell body
22	945	66	0.676028854974034	1.34877522446159e-07	0.009	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
22	945	66	0.676028854974034	1.34877522446159e-07	0.009	GO:0038094	Fc-gamma receptor signaling pathway
22	945	66	0.676028854974034	1.34877522446159e-07	0.009	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis
28	1383	64	0.675984213019477	1.09990969092222e-08	0	GO:0019932	second-messenger-mediated signaling
39	1648	80	0.672907463236142	5.62516896737363e-11	0	GO:0009897	external side of plasma membrane
28	2409	46	0.669630341165013	2.47936355154637e-07	0.014	GO:0022836	gated channel activity
28	2409	46	0.669630341165013	2.47936355154637e-07	0.014	GO:0022839	ion gated channel activity
22	787	77	0.668895599853045	1.13824095737035e-07	0.007	GO:0055001	muscle cell development
37	1030	106	0.666971674548871	2.00068289638411e-11	0	GO:0070161	anchoring junction
121	2472	200	0.664153097956427	6.79881039015621e-26	0	GO:0038023	signaling receptor activity
24	1420	55	0.659654923485147	2.17152371786106e-07	0.014	GO:0043583	ear development
35	1030	102	0.655077946501428	1.212563341725e-10	0	GO:0005912	adherens junction
23	849	78	0.651415972396538	1.24023014157262e-07	0.008	GO:0004713	protein tyrosine kinase activity
31	1145	84	0.649913255946104	2.41463818988473e-09	0	GO:0001726	ruffle
22	945	69	0.647544825264548	3.27162355920287e-07	0.02	GO:0002431	Fc receptor mediated stimulatory signaling pathway
27	2109	49	0.64481188123468	3.78580710514432e-07	0.021	GO:2000021	regulation of ion homeostasis
40	1539	89	0.64342694447088	8.52980423726754e-11	0	GO:0030198	extracellular matrix organization
40	1539	89	0.64342694447088	8.52980423726754e-11	0	GO:0043062	extracellular structure organization
26	1923	50	0.642642464504761	4.206458905379e-07	0.024	GO:0006805	xenobiotic metabolic process
26	1923	50	0.642642464504761	4.206458905379e-07	0.024	GO:0071466	cellular response to xenobiotic stimulus
52	896	175	0.638029278924737	8.86922101345361e-15	0	GO:0005615	extracellular space
36	1016	110	0.631238854719414	2.05554132368777e-10	0	GO:0016337	cell-cell adhesion
26	1330	65	0.629366139428106	1.47546604298058e-07	0.011	GO:0007204	elevation of cytosolic calcium ion concentration
