# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-05-23 08:11:13-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.goa_human.gz
#   revision: 0
#   downloaded on: 2013-10-27 16:13:44-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2012-02-05 16:36:50.758813-05
#     synergizer db built from: Ensembl Genes 65 / Ensembl Metazoa Genes 12 / Ensembl Plants Genes 10
#   namespace: ensembl_gene_id
#   coverage: 99.6%
# size of "genespace": 9651
# number of attributes: 14476
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 699
# Number of entities in query: 699
# Total number of entities: 9651
# Total number of attributes: 14476
# Original total number of attributes: 17521
# Translation required: yes
# Translation coverage: 0.995851
# Mode: ordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	M	X	LOD	P	P_adj	attrib ID	attrib name
6	42	16	2.21167980606268	3.63061961692589e-11	0	GO:0006958	complement activation, classical pathway
6	42	19	2.10239959133064	1.21830336371749e-10	0	GO:0006956	complement activation
6	42	22	2.01511362786225	3.31839551124919e-10	0	GO:0072376	protein activation cascade
6	42	23	1.98951425137044	4.47522473214626e-10	0	GO:0002455	humoral immune response mediated by circulating immunoglobulin
8	42	32	1.98404851780224	6.18588896239816e-13	0	GO:0003823	antigen binding
6	534	7	1.87360524225089	1.86411828636437e-07	0.006	GO:0002675	positive regulation of acute inflammatory response
7	603	9	1.65799139423994	1.15868544582266e-07	0.001	GO:0001637	G-protein coupled chemoattractant receptor activity
7	603	9	1.65799139423994	1.15868544582266e-07	0.001	GO:0004950	chemokine receptor activity
5	186	11	1.64444088502061	1.0595309105029e-06	0.028	GO:0036336	dendritic cell migration
8	207	17	1.6265173393697	8.06187859318307e-10	0	GO:0004867	serine-type endopeptidase inhibitor activity
7	248	14	1.59004898300777	2.00165087983084e-08	0	GO:0007631	feeding behavior
7	42	66	1.53034205352758	1.12772922594439e-08	0	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
7	42	66	1.53034205352758	1.12772922594439e-08	0	GO:0038094	Fc-gamma receptor signaling pathway
7	42	66	1.53034205352758	1.12772922594439e-08	0	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis
7	42	69	1.50884256003789	1.54742628157647e-08	0	GO:0002431	Fc receptor mediated stimulatory signaling pathway
7	281	15	1.47849181959882	8.67663664173631e-08	0	GO:0007416	synapse assembly
