HGNC	0.000	0.000	0.000	IBAQ_Protein_Level_Khanetal_TableS8
A4GALT	2.744	3.993	-1.263	NA
AAAS	6.122	5.919	0.382	504776.3067
AACS	6.067	5.490	0.594	947707.6902
AAED1	2.490	2.261	-0.085	NA
AAGAB	6.046	5.266	0.735	NA
AAK1	4.753	4.108	0.618	NA
AAMDC	3.103	1.926	1.378	NA
AAMP	6.918	6.594	0.290	NA
AAR2	5.282	4.685	0.624	NA
AARS	9.004	8.644	0.439	3385251.001
AARS2	4.583	5.222	-0.577	234181.6405
AASDH	4.901	4.525	0.279	NA
AASDHPPT	6.269	5.317	1.022	408546.5366
AATF	7.381	7.267	0.171	248490.3087
ABAT	2.359	1.054	1.455	NA
ABCA12	2.502	1.605	1.016	NA
ABCA3	2.566	2.969	-0.798	NA
ABCA5	4.747	6.062	-1.164	NA
ABCA6	4.740	4.891	-0.478	NA
ABCA7	4.010	5.235	-1.142	NA
ABCB1	3.248	1.563	2.280	NA
ABCB10	4.888	5.297	-0.513	98936.34692
ABCB4	3.866	3.565	0.218	NA
ABCB6	4.893	4.850	0.230	NA
ABCB7	6.322	6.174	0.093	310681.1423
ABCB8	4.532	4.702	-0.116	149083.2813
ABCC1	7.046	6.520	0.562	9038.188672
ABCC10	3.582	4.458	-0.918	NA
ABCC4	6.908	6.291	0.614	68197.05767
ABCC5	3.266	2.941	0.339	NA
ABCD1	2.542	2.444	0.248	NA
ABCD2	4.095	3.312	0.842	NA
ABCD3	6.530	5.357	1.077	486291.8067
ABCD4	3.902	4.265	-0.391	NA
ABCE1	8.305	7.631	0.517	2050978.984
ABCF1	7.669	7.784	-0.152	1690844.549
ABCF2	7.649	7.069	0.462	1067945.216
ABCF3	6.350	5.819	0.641	397638.029
ABCG1	3.623	2.448	1.113	NA
ABHD10	5.438	4.807	0.667	853259.7063
ABHD11	3.465	2.863	0.502	409878.4865
ABHD12	4.116	5.085	-1.138	238962.4524
ABHD13	3.755	3.561	0.103	NA
ABHD14B	5.153	4.525	0.509	2779746.017
ABHD16A	4.029	4.882	-0.874	NA
ABHD2	5.401	4.248	1.301	NA
ABHD3	5.273	4.716	0.648	NA
ABHD4	4.180	3.291	1.039	NA
ABHD5	3.877	3.540	0.395	NA
ABHD6	3.417	2.926	0.386	144955.0535
