ENSG,rpkm.human,ibaq.human,rpkm.chimp,ibaq.chimp
ENSG00000000419,35.9665,948095.6102,24.6792,1206370.264
ENSG00000000457,8.31236,20451.92159,9.793,17384.45458
ENSG00000000938,55.1521,235263.2215,44.5835,394932.1815
ENSG00000001084,3.46284,65757.87596,3.46884,67391.44134
ENSG00000001497,19.5844,258563.7893,17.6123,182848.9264
ENSG00000002549,62.786,9866192.453,74.3941,12075731.77
ENSG00000002822,10.8943,271222.3104,7.93892,207636.5436
ENSG00000003056,30.7641,985264.959,41.4942,1395957.127
ENSG00000003509,6.35518,334512.252,4.23042,290081.8005
ENSG00000003756,17.1878,109047.5049,16.5141,21626.40792
ENSG00000004059,33.6894,1029154.259,39.0784,1108818.791
ENSG00000004142,31.9473,628339.6015,40.6392,537493.2951
ENSG00000004455,36.0415,14167839.99,48.4255,7143884.6
ENSG00000004468,5.72552,139223.4875,3.99265,378014.5757
ENSG00000004478,22.2102,6934364.7,20.7602,3812804.965
ENSG00000004487,35.6381,394140.7214,41.1238,314490.4033
ENSG00000004534,26.584,67955.88834,36.9217,27780.74458
ENSG00000004700,19.065,3120186.216,35.3686,3171641.093
ENSG00000004766,2.96638,47618.51621,2.98761,40591.89446
ENSG00000004779,51.657,880385.8169,46.3935,452479.1875
ENSG00000004864,8.57513,571936.4372,4.89106,422789.6662
ENSG00000004897,20.4727,207091.8498,27.9776,131045.291
ENSG00000005007,21.3796,1308143.98,37.4439,1070864.93
ENSG00000005022,193.646,995710.63,231.359,1285518.842
ENSG00000005100,5.78269,51160.89602,8.11673,58717.73041
ENSG00000005156,3.46011,137717.1212,4.79887,104842.9138
ENSG00000005175,12.5072,290931.0945,12.8811,179783.5115
ENSG00000005436,5.73742,197383.7379,5.95879,65582.96381
ENSG00000005810,10.9825,897436.5694,11.9302,30378.44355
ENSG00000005844,20.8015,455015.3985,27.7421,512660.9288
ENSG00000005893,19.4325,130256.0265,25.2705,102397.0659
ENSG00000006114,7.65552,235390.6006,7.01895,115545.0228
ENSG00000006125,27.2355,570045.0184,34.0231,821508.6192
ENSG00000006451,35.9034,457515.7461,60.6903,399627.3616
ENSG00000006530,11.3046,1169436.688,18.9985,1874921.908
ENSG00000006712,19.3412,97596.587,22.8033,90412.30914
ENSG00000006715,10.7162,123530.1649,16.4083,143617.5342
ENSG00000006744,24.9392,445322.7536,16.6842,211348.3076
ENSG00000007080,41.1181,858469.3727,45.4522,791220.1884
ENSG00000007168,22.1399,1269990.126,19.8577,1652933.386
ENSG00000007392,16.2118,168024.822,15.1498,159721.6947
ENSG00000007923,7.97432,883677.0205,11.359,769111.7146
ENSG00000008018,59.241,12791015.82,60.4906,12089014.46
ENSG00000008294,6.36273,149888.8935,17.1704,294428.929
ENSG00000008394,11.4179,1450620.735,0.615349,205439.049
ENSG00000008838,10.9243,32257.02489,15.104,31108.2958
ENSG00000008869,6.01238,100841.1558,6.00621,119835.1437
ENSG00000008952,65.0952,415292.4819,37.1957,292159.9862
ENSG00000008988,208.536,4091432.505,11.4568,8270517.634
ENSG00000009307,118.805,1096534.483,156.25,1221767.577
ENSG00000009335,14.9096,299617.6435,20.1881,243722.3865
ENSG00000009844,29.296,1294229.225,28.4954,686435.9348
ENSG00000009954,17.9658,298928.6507,25.8729,343090.4805
ENSG00000010017,21.008,82605.22351,32.7535,102944.7034
ENSG00000010165,14.0019,123864.2903,9.91953,152431.0296
ENSG00000010244,60.3993,478987.6542,54.7744,544343.5372
ENSG00000010256,39.9885,5803291.171,54.8906,6067500.602
ENSG00000010292,30.0472,513935.7918,47.9723,313193.8368
ENSG00000010671,37.8872,1501789.656,21.3527,745691.0325
ENSG00000011007,13.3821,25464.05436,19.628,184027.4965
ENSG00000011009,13.0999,2646253.802,14.6442,3860257.353
ENSG00000011243,23.8318,64403.25695,28.0198,50690.13658
ENSG00000011304,37.9656,3489692.545,52.4884,4142945.94
ENSG00000011376,7.2121,284136.7218,8.09542,378136.3248
ENSG00000011405,5.64591,21378.0088,7.8493,15236.53931
ENSG00000011454,3.87214,107706.6534,4.0643,22545.76746
ENSG00000011478,6.40721,250949.6617,7.11634,91629.88816
ENSG00000011485,8.99029,977954.7889,6.97026,646884.2121
ENSG00000012232,2.78718,7462739.893,3.34595,4022491.205
ENSG00000012660,13.781,38577.49976,21.9238,33395.59248
ENSG00000013275,40.7248,4465287.761,45.3635,3836970.437
ENSG00000013364,48.9835,3507221.815,89.4667,7212897.753
ENSG00000013374,18.5834,242812.6152,28.0716,501616.0533
ENSG00000013375,4.78936,321266.2705,12.883,885377.5328
ENSG00000013503,1.59577,18495.38593,2.14661,28614.13433
ENSG00000014123,17.8145,829476.6176,20.793,766514.6963
ENSG00000014138,5.87286,146558.0153,8.19857,468697.2203
ENSG00000014216,20.3531,3026974.014,27.0234,4209598.056
ENSG00000014641,62.3615,4826713.157,55.477,4476753.117
ENSG00000014919,19.7969,45696.41231,23.3612,37791.48453
ENSG00000015133,8.66747,143169.3956,14.8321,29926.96068
ENSG00000015475,20.8307,2487995.512,33.4751,2107478.766
ENSG00000015479,23.2445,2594858.433,27.9731,2538188.717
ENSG00000015676,17.5839,433609.7161,16.875,391515.8909
ENSG00000018510,8.19732,636407.0094,12.0878,768448.5577
ENSG00000018699,6.95489,133081.2373,12.4206,132505.0051
ENSG00000019582,2031.5,12411460.43,1405.37,13504080.01
ENSG00000020129,4.863,219662.0482,5.13575,161934.3799
