genome	VNTR	Asp_GUC	Glu_CUC	Gly_GCC	Gly_UCC	Leu_CAG
ref	6	19	13	15	9	10
avg	15.94162706	22.85288909	21.96162648	23.91814215	12.83525311	14.44056312
NA10847	11.086869	22.59558824	18.14624183	19.88480392	12.82189542	13.33088235
NA12878	18.54665814	24.42491747	22.18231313	23.56377465	17.04287577	17.72719722
NA12890	14.52966001	21.14421745	28.39871884	25.18968774	10.80936792	11.05869114
NA12891	16.24277291	24.33082634	24.43462374	25.37462577	19.37490652	18.70521658
NA12892	14.84373433	23.30692407	21.42421105	23.90023574	16.82512396	16.25407528
NA18489	13.84445163	24.69391619	20.80472956	22.61575698	8.436737466	13.17110847
NA18499	24.22179643	26.85620915	27.67973856	31.48788927	11.9869281	15.34365325
NA18501	9.754695695	18.99474747	23.1240404	20.95616162	8.877979798	11.63944444
NA18502	18.3711813	26.68154403	21.92641737	24.3039807	21.48612786	21.04583836
NA18504	5.963740934	14.54376204	11.97399957	12.97456666	4.535357372	6.993531506
NA18505	26.80655987	29.06547912	27.18218673	27.68439803	22.16007371	21.75202703
NA18507	18.68363458	24.19507576	16.45265152	21.29166667	13.54924242	18.58181818
NA18511	25.25836828	28.63049645	26.2748227	29.35531915	27.2714539	22.06682427
NA18519	13.89554891	21.30361581	21.71720249	22.61850931	8.84919426	13.32366608
NA18522	7.44755159	16.15878953	11.98877933	18.38595407	5.212512751	11.29377763
NA18523	19.76395758	22.8342369	26.02431411	27.23691656	18.46886808	17.71332348
NA18526	23.13337612	17.91687459	27.78122127	33.954826	14.56165463	13.87512501
NA18591	16.3653969	24.04184028	26.17100694	25.10642361	10.64583333	14.8509375
NA18870	9.665371345	21.67564135	18.82016764	21.80543561	8.860621455	9.864363729
NA18951	20.48907719	28.7099264	25.17851373	30.85399838	22.72621876	21.64710106
NA19098	13.57328401	22.43475602	18.56022991	21.24740125	8.373975786	11.4902613
NA19099	31.07178148	34.82941613	29.70930233	32.11133102	24.90524493	24.62606177
NA19137	11.04976865	20.93488587	21.54169415	23.15984958	9.304393719	9.641509434
NA19138	7.191356524	16.24750623	19.53948462	17.09704904	4.991064007	7.539692436
NA19200	10.3997444	19.00362231	15.42501811	18.26322144	7.404008694	9.501811157
NA19201	14.09025001	22.12430168	20.69692737	22.53212291	8.972067039	11.78150217
NA19238	14.14091508	24.09994244	24.28341147	24.41922628	18.55735966	17.35791534
NA19239	18.15294649	26.67285612	25.90078377	26.79298818	21.55401692	20.44685952
NA19240	16.94271798	27.19019814	25.59953961	25.57848582	21.33611537	18.96420699
