ID,ID,ID,ID,USE,USE,MAYBE USE,MAYBE USE,MAYBE USE,MAYBE USE,,,
FIRST_ENSP,FIRST_ENSG,FIRST_ENST,,iBAQ,MS/MS IDs / length,EvidenceIDs/oi_ENSG,MSMSids/oi_ENSG,Intensity/length,Evidence IDS / length,Majority protein IDs,Sequence length,Sequence lengths
ENSP00000226299,ENSG00000002549,ENST00000226299,,155980000,0.60,5.78,11.38,8715606.936,0.30,ENSP00000226299_ENSG00000002549_ENST00000226299;ENSP00000476028_ENSG00000002549_ENST00000606142,519,NaN
ENSP00000265854,ENSG00000002822,ENST00000265854,,827830,0.01,0.06,0.12,51883.00836,0.00,ENSP00000265854_ENSG00000002822_ENST00000265854;ENSP00000382562_ENSG00000002822_ENST00000399654;ENSP00000385334_ENSG00000002822_ENST00000406869;ENSP00000384155_ENSG00000002822_ENST00000402746;ENSP00000401901_ENSG00000002822_ENST00000445959,718,NaN
ENSP00000325240,ENSG00000002834,ENST00000318008,,76672000,0.19,1.87,5.19,4112643.678,0.07,ENSP00000325240_ENSG00000002834_ENST00000318008;ENSP00000392853_ENSG00000002834_ENST00000435347;ENSP00000391897_ENSG00000002834_ENST00000419929;ENSP00000401048_ENSG00000002834_ENST00000433206,261,NaN
ENSP00000437595,ENSG00000003056,ENST00000543704,,10560000,0.04,0.57,0.69,499479.7297,0.03,ENSP00000437595_ENSG00000003056_ENST00000543704;ENSP00000000412_ENSG00000003056_ENST00000000412,148,NaN
ENSP00000362548,ENSG00000004455,ENST00000373449,,618450000,1.36,10.61,21.84,37320258.62,0.66,ENSP00000362548_ENSG00000004455_ENST00000373449;ENSP00000447082_ENSG00000004455_ENST00000467905;ENSP00000449003_ENSG00000004455_ENST00000548033;ENSP00000446849_ENSG00000004455_ENST00000487289,232,NaN
ENSP00000001008,ENSG00000004478,ENST00000001008,,1754000,0.02,0.19,0.27,118461.8736,0.01,ENSP00000001008_ENSG00000004478_ENST00000001008,459,NaN
ENSP00000395449,ENSG00000004700,ENST00000421138,,654930,0.01,0.13,0.22,35320.49307,0.00,ENSP00000395449_ENSG00000004700_ENST00000421138;ENSP00000416739_ENSG00000004700_ENST00000444129;ENSP00000379400_ENSG00000004700_ENST00000396093;ENSP00000318727_ENSG00000004700_ENST00000314748;ENSP00000445555_ENSG00000004700_ENST00000542432;ENSP00000439069_ENSG00000004700_ENST00000536240;ENSP00000446036_ENSG00000004700_ENST00000536964;ENSP00000440700_ENSG00000004700_ENST00000539672,649,NaN
ENSP00000400101,ENSG00000004864,ENST00000416240,,782330,0.00,0.11,0.11,39347.63314,0.00,ENSP00000400101_ENSG00000004864_ENST00000416240;ENSP00000265631_ENSG00000004864_ENST00000265631;ENSP00000440484_ENSG00000004864_ENST00000542654,676,NaN
ENSP00000326579,ENSG00000004961,ENST00000321143,,1024200,0.01,0.19,0.19,61149.25373,0.01,ENSP00000326579_ENSG00000004961_ENST00000321143;ENSP00000370139_ENSG00000004961_ENST00000380762;ENSP00000370140_ENSG00000004961_ENST00000380763,268,NaN
ENSP00000470142,ENSG00000005007,ENST00000599848,,236920,0.01,0.15,0.19,12170.94774,0.01,ENSP00000470142_ENSG00000005007_ENST00000599848;ENSP00000262803_ENSG00000005007_ENST00000262803,1129,NaN
ENSP00000360671,ENSG00000005022,ENST00000317881,,362030000,0.59,6.29,12.10,23082550.34,0.31,ENSP00000360671_ENSG00000005022_ENST00000317881,298,298
ENSP00000377914,ENSG00000005194,ENST00000394391,,3653900,0.02,0.35,0.52,245935.8974,0.01,ENSP00000377914_ENSG00000005194_ENST00000394391;ENSP00000456114_ENSG00000005194_ENST00000567518;ENSP00000458000_ENSG00000005194_ENST00000569979,312,NaN
ENSP00000347581,ENSG00000006530,ENST00000355413,,1025100,0.01,0.19,0.19,55872.03791,0.01,ENSP00000347581_ENSG00000006530_ENST00000355413;ENSP00000458417_ENSG00000262327_ENST00000575872;ENSP00000420776_ENSG00000006530_ENST00000473247;ENSP00000461611_ENSG00000262327_ENST00000573706;ENSP00000418101_ENSG00000006530_ENST00000494688;ENSP00000444349_ENSG00000006530_ENST00000535825;ENSP00000459752_ENSG00000262327_ENST00000573803;ENSP00000468400_ENSG00000262327_ENST00000586755,422,NaN
ENSP00000275428,ENSG00000006625,ENST00000275428,,220120,0.01,0.09,0.18,15220.74468,0.01,ENSP00000275428_ENSG00000006625_ENST00000275428;ENSP00000386686_ENSG00000006625_ENST00000409436;ENSP00000387235_ENSG00000006625_ENST00000409390;ENSP00000005374_ENSG00000006625_ENST00000005374;ENSP00000386610_ENSG00000006625_ENST00000409144;ENSP00000387809_ENSG00000006625_ENST00000447901;ENSP00000408015_ENSG00000006625_ENST00000440082,188,NaN
