"HGNC" "ENST"
"A4GALT-004" "ENST00000401850.1"
"AAAS-001" "ENST00000209873.4"
"AACS-001" "ENST00000316519.6"
"AAED1-002" "ENST00000375234.3"
"AAGAB-001" "ENST00000261880.5"
"AAK1-001" "ENST00000409085.3"
"AAMDC-001" "ENST00000393427.2"
"AAMP-002" "ENST00000444053.1"
"AAR2-001" "ENST00000373932.3"
"AARS-001" "ENST00000261772.7"
"AARS2-001" "ENST00000244571.4"
"AASDH-001" "ENST00000205214.6"
"AASDHPPT-001" "ENST00000278618.4"
"AATF-001" "ENST00000225402.5"
"ABAT-201" "ENST00000396600.2"
"ABCA12-001" "ENST00000272895.7"
"ABCA3-001" "ENST00000301732.5"
"ABCA5-201" "ENST00000392677.2"
"ABCA6-001" "ENST00000284425.2"
"ABCA7-201" "ENST00000433129.1"
"ABCB1-001" "ENST00000265724.3"
"ABCB10-001" "ENST00000344517.4"
"ABCB4-002" "ENST00000265723.4"
"ABCB6-001" "ENST00000265316.3"
"ABCB7-001" "ENST00000253577.3"
"ABCB8-005" "ENST00000358849.4"
"ABCC1-001" "ENST00000399410.3"
"ABCC10-002" "ENST00000372530.4"
"ABCC4-001" "ENST00000376887.4"
"ABCC5-001" "ENST00000334444.6"
"ABCD1-001" "ENST00000218104.3"
"ABCD2-001" "ENST00000308666.3"
"ABCD3-001" "ENST00000370214.4"
"ABCD4-001" "ENST00000356924.4"
"ABCE1-001" "ENST00000296577.4"
"ABCF1-001" "ENST00000326195.8"
"ABCF2-001" "ENST00000287844.2"
"ABCF3-001" "ENST00000429586.2"
"ABCG1-001" "ENST00000398449.3"
"ABHD10-001" "ENST00000273359.3"
"ABHD11-001" "ENST00000222800.3"
"ABHD12-002" "ENST00000376542.3"
"ABHD13-001" "ENST00000375898.3"
"ABHD14B-005" "ENST00000483233.1"
"ABHD16A-001" "ENST00000395952.3"
"ABHD2-201" "ENST00000355100.3"
"ABHD3-001" "ENST00000289119.2"
"ABHD4-001" "ENST00000428304.2"
"ABHD5-001" "ENST00000458276.2"
"ABHD6-001" "ENST00000478253.1"
"ABHD8-001" "ENST00000247706.3"
"ABI1-203" "ENST00000376134.3"
"ABI2-002" "ENST00000261017.5"
"ABI3-001" "ENST00000225941.1"
"ABL1-002" "ENST00000372348.2"
"ABL2-001" "ENST00000502732.1"
"ABR-001" "ENST00000302538.5"
"ABRACL-001" "ENST00000367660.3"
"ABT1-001" "ENST00000274849.1"
"ABTB1-001" "ENST00000232744.8"
"ABTB2-001" "ENST00000435224.2"
"AC004381.6-001" "ENST00000261377.6"
"AC006465.3-201" "ENST00000433511.2"
"AC007390.5-002" "ENST00000402297.1"
"AC073346.2-002" "ENST00000441359.1"
"AC114772.1-201" "ENST00000339092.2"
"ACAA1-001" "ENST00000333167.8"
"ACAA2-001" "ENST00000285093.9"
"ACACA-009" "ENST00000394406.2"
"ACAD10-001" "ENST00000313698.4"
"ACAD11-001" "ENST00000264990.6"
"ACAD8-001" "ENST00000281182.4"
"ACAD9-001" "ENST00000308982.7"
"ACADM-005" "ENST00000420607.2"
"ACADS-001" "ENST00000242592.4"
"ACADSB-001" "ENST00000358776.4"
"ACADVL-006" "ENST00000322910.5"
"ACAP1-001" "ENST00000158762.3"
"ACAP2-001" "ENST00000326793.6"
"ACAP3-001" "ENST00000354700.5"
"ACAT1-001" "ENST00000265838.4"
"ACAT2-001" "ENST00000367048.4"
"ACBD3-001" "ENST00000366812.5"
"ACBD4-004" "ENST00000398322.3"
"ACBD5-002" "ENST00000375905.4"
"ACBD6-001" "ENST00000367595.3"
"ACD-001" "ENST00000393919.4"
"ACER2-001" "ENST00000340967.2"
"ACER3-001" "ENST00000532485.1"
"ACIN1-003" "ENST00000262710.1"
"ACLY-002" "ENST00000393896.2"
"ACN9-001" "ENST00000432641.2"
"ACO1-001" "ENST00000309951.5"
"ACO2-001" "ENST00000216254.4"
"ACOT13-001" "ENST00000230048.3"
"ACOT2-001" "ENST00000238651.5"
"ACOT4-001" "ENST00000326303.4"
"ACOT7-001" "ENST00000377855.2"
"ACOT8-001" "ENST00000217455.4"
"ACOT9-008" "ENST00000379303.5"
"ACOX1-002" "ENST00000301608.4"
"ACOX3-005" "ENST00000503233.1"
"ACP1-001" "ENST00000272065.5"
"ACP2-001" "ENST00000256997.3"
"ACP5-002" "ENST00000218758.5"
"ACP6-001" "ENST00000369238.5"
"ACSF2-001" "ENST00000300441.4"
"ACSF3-001" "ENST00000317447.4"
"ACSL1-007" "ENST00000513317.1"
"ACSL3-002" "ENST00000392066.3"
"ACSL4-001" "ENST00000348502.6"
"ACSL5-203" "ENST00000393081.1"
"ACSM3-003" "ENST00000562251.1"
"ACSS1-001" "ENST00000323482.4"
"ACSS2-001" "ENST00000360596.2"
"ACTA1-001" "ENST00000366684.3"
"ACTA2-201" "ENST00000458208.1"
"ACTB-001" "ENST00000331789.5"
"ACTG1-006" "ENST00000576544.1"
"ACTL6A-001" "ENST00000429709.2"
"ACTN1-005" "ENST00000394419.4"
"ACTN4-001" "ENST00000252699.2"
"ACTR10-002" "ENST00000254286.4"
"ACTR1A-001" "ENST00000369905.4"
"ACTR1B-001" "ENST00000289228.5"
"ACTR2-001" "ENST00000260641.5"
"ACTR3-001" "ENST00000263238.2"
"ACTR3B-001" "ENST00000256001.8"
"ACTR5-001" "ENST00000243903.4"
"ACTR6-001" "ENST00000188312.2"
"ACTR8-001" "ENST00000335754.3"
"ACY3-001" "ENST00000255082.3"
"ACYP1-001" "ENST00000238618.3"
"ACYP2-001" "ENST00000394666.3"
"ADA-001" "ENST00000372874.4"
"ADAL-002" "ENST00000562188.1"
"ADAM10-001" "ENST00000260408.3"
"ADAM15-019" "ENST00000356955.2"
"ADAM17-001" "ENST00000310823.3"
"ADAM19-003" "ENST00000517905.1"
"ADAM22-001" "ENST00000265727.7"
"ADAM8-001" "ENST00000445355.3"
"ADAM9-001" "ENST00000487273.2"
"ADAMTS12-002" "ENST00000504830.1"
"ADAP1-001" "ENST00000265846.5"
"ADAR-201" "ENST00000292205.5"
"ADARB2-001" "ENST00000381312.1"
"ADAT1-001" "ENST00000307921.3"
"ADAT2-001" "ENST00000237283.8"
"ADAT3-001" "ENST00000329478.2"
"ADCK1-001" "ENST00000238561.5"
"ADCK2-001" "ENST00000072869.4"
"ADCK3-001" "ENST00000366777.3"
"ADCK4-001" "ENST00000324464.3"
"ADCK5-001" "ENST00000308860.6"
"ADCY3-001" "ENST00000260600.5"
"ADCY7-001" "ENST00000394697.2"
"ADD1-001" "ENST00000398129.1"
"ADD3-001" "ENST00000356080.4"
"ADH5-001" "ENST00000296412.8"
"ADI1-001" "ENST00000327435.4"
"ADIPOR1-001" "ENST00000340990.5"
"ADIPOR2-001" "ENST00000357103.4"
"ADK-001" "ENST00000286621.2"
"ADNP-002" "ENST00000396029.3"
